"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"H3VS","2015-09-16T12:00:00","20.60","-105.40",,,"1","4","0","0","2","3",,"1","0","50","3","26",,,,"10100","4","0","0","310","0","280","271","3","310","5","4","5","5","A","A",,,,,,"239","5","992","114","5","1","2","1","111111","11AAA111111AA1","1",,,,,"4"
"DNDD","2015-09-16T19:00:00","20.30","-107.00",,,"1","4","0","0","7","4",,"1","0","130","4","36","98","2","1","10120","4","0","0","280","0","270","267","1","280","6","5","8","7","1","A","2","1",,,,"239","7","992","114","5","1","2","2","111111","111111111111A1","1","1",,,,"4"
"DNDD","2015-09-16T21:00:00","20.60","-107.50",,,"1","4","0","0","7","4",,"1","0","130","4","26","98","2","2","10110","8","10","0","320","0","300","294","1","280","6","5","6","7","1","A",,,"0",,,"239","7","992","114","5","1","2","2","111111","11111111111A31","1","2","0",,,"4"
"DNDD","2015-09-17T00:00:00","21.10","-108.30",,,"1","4","0","0","7","4",,"1","0",,"4",,"99",,,"10100","6","10","0","290","0","262","252","1","290","5","1","1","3","5","9","1","0","15","5","2","239","18","992","114","5","1","2","2","11FF11","111AA111111311","3",,,,,"4"
"DNDD","2015-09-17T04:00:00","21.70","-108.40",,,"1","4","0","0","7","4",,"1","0","100","4","26","97","2","0","10100","4","0","0","290","0","290","290","1","290","4","4","1","3","4","5","0","0",,,,"239","18","992","114","5","1","2","1","111113","111111111111A1","1","0",,,,"4"
"H3VS","2015-09-17T04:00:00","20.60","-105.50",,,"1","4","0","0","6","4",,"1","0","40","3","26","98",,"0","10110","2","10","0","290","0","270","263","3","300",,,,"A",,,"1","1",,,,"239","5","992","114","5","1","2","1","111111","111A11111181A1","1","0",,,,"4"
"H3VS","2015-09-17T09:00:00","21.30","-107.10",,,"1","4","0","0","7","4",,"1","0","260","3","26",,,,"10104","4","0","0","290","0","270","263","3","310",,,,"A",,,,,,,,"239","17","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"H3VS","2015-09-17T12:00:00","21.80","-108.20",,,"1","4","0","0","7","4",,"1","0","260","3","26",,,,"10104","4","0","0","300","0","280","274","3","310",,,,"A",,,,,,,,"239","18","992","114","5","1","2","1","111111","11AAA111118AA1","1",,,,,"4"
"H3VS","2015-09-17T15:00:00","22.20","-108.90",,,"1","4","0","0","7","4",,"1","0","280","3","46","98",,"0","10102","4","0","0","300","0","270","260","3","310",,,,"A",,,"1","2",,,,"239","28","992","114","5","1","2","2","111111","111A11111181A1","1","0",,,,"4"
"SBLI","2015-09-18T00:00:00","20.40","-108.90",,,"1","4","0","0","7","4",,"1","0","70","1","40","97",,,"10085","5","10","0","283",,,,"1","301","7",,,"A",,,,"2",,,"3","239","8","992","114","5","1","2","2","11111F","111AA11AA11371","3",,,,,"4"
