"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"TBWUK70","2018-09-02T14:00:00","24.60","36.30",,,"1","4","0","0","4","4","1","0","320","3","103",,"96","5","2","10025","7","20","0","330","0","300","290","3","320","4","3","6","2","0","0",,"4","2","0",,,"217","46","992","114","5","1","2","2","111111","11111111111131",,,"1","2","0",,,,,,,,"4"
"2300504","2018-09-02T15:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T16:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"TBWUK70","2018-09-02T16:00:00","23.90","36.60",,,"1","6","2","5","3","4","1",,"330","3","87","1","97","2",,"10018","8","6","8","306",,"291","286","3","330","0","0","A","9","A","A",,"5","2",,,,"217","36","798","172","5","1","2","1","111111","1111A1111111A1",,"5",,,,,,,,,,,
"2300504","2018-09-02T17:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T18:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T19:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"TBWUK76","2018-09-02T19:00:00","28.40","33.10",,,"1","6","2","5","2","4","1",,"320","4","108","1","97","2","0","10063","5","7","8","291",,,"249","1","285","1","0","0","9","0","5",,"3","1","36","4","1","217","83","798","172","5","1","2","1","111111","1111111A111111",,"5",,"0",,,,,,,,,
"2300504","2018-09-02T20:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T21:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T22:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-02T23:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T00:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"DFNB2","2018-09-03T00:00:00","21.00","37.90",,,"1","6","2","5","3","4","1",,"260","4","51","1","97","3","2","10023","5","2","8","300",,"281","275","3","300","8","6","1","4","2","A",,"5","1",,,,"217","17","798","172","5","1","2","1","111111","111111111111A1",,"5",,"2",,,,,,,,,
"2300504","2018-09-03T01:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T02:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","317",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T03:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T04:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"TBWUK70","2018-09-03T04:00:00","20.30","38.30",,,"1","6","2","5","3","4","1",,"310","3","36","1","96","2","0","10017","3","6","8","305",,"290","285","3","340","0","0","0","9","0","A",,"4","1",,,,"217","8","798","172","5","1","2","2","311111","111411111111A1",,"5",,"0",,,,,,,,,
"WMMK","2018-09-03T04:00:00","20.30","38.70",,,"1","6","2","5","7","4","1",,"50","4","41","1","97",,,"10022","2","11","8","310",,"300","297","1","320","3","3","7","3","A","A",,"2","2","32","4","4","217","8","798","172","5","1","2","2","111111","111AA111111111",,"5",,,,,,,,,,,
"2300504","2018-09-03T05:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T06:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","319",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"WMMK","2018-09-03T06:00:00","20.80","38.40",,,"1","6","2","5","7","4","1",,"20","4","26","1","97","2","2","10028","2","17","8","310",,"300","297","1","322","8","8","7","3","1","A",,"6","1","33","6","3","217","8","798","172","5","1","2","2","111111","11111111111111",,"5",,"2",,,,,,,,,
"2300504","2018-09-03T07:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","321",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T08:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","322",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"2300504","2018-09-03T09:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","324",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"9HA3553","2018-09-03T09:00:00","21.00","38.30",,,"1","6","2","5","7","4","1",,"140","4","62","1","97","5",,"10100","4","0","8","350",,"330","324","7","340","6","6","7","2","1","A",,,,,,,"217","18","798","172","5","1","2","2","331111","1111A111111AA1",,"5",,,,,,,,,,,
"2300504","2018-09-03T10:00:00","20.37","39.60",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","323",,,,,,,,,,,,,"217","9","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,
"TBWUK75","2018-09-03T10:00:00","27.50","34.90",,,"1","6","2","5","1","1","1",,"260","4","77","1","97",,,"10023","6","21","8","301",,,"288","7","300","4","4","6","2","1","7",,"3","3",,,,"217","74","798","172","5","1","2","2","111121","111AA11A1111A1",,"5",,,,,,,,,,,
