"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"2201566","2018-09-02T23:00:00","21.56","117.21",,,"1","4","2","5",,,"11",,,,,,,,,"10063",,,"8",,,,,,"9","286",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-02T23:00:00","23.40","117.72",,,"1","5","2","5","5","4","1",,,,,,,,,"10065","2","15","8","261",,,,"256",,,,,,,,,,,,,,,"225","37","798","172","5","0",,"2","F1FF13","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-03T00:00:00","21.56","117.22",,,"1","4","2","5",,,"11",,,,,,,,,"10068",,,"8",,,,,,"9","286",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-03T00:00:00","23.20","117.46",,,"1","5","2","5","5","4","1",,,,,,,,,"10071","2","20","8","265",,,,"253",,,,,,,,,,,,,,,"225","37","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-03T01:00:00","21.56","117.22",,,"1","4","2","5",,,"11",,,,,,,,,"10072",,,"8",,,,,,"9","286",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-03T01:00:00","23.02","117.20",,,"1","5","2","5","5","4","1",,,,,,,,,"10077","2","20","8","265",,,,"253",,,,,,,,,,,,,,,"225","37","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-03T02:00:00","21.56","117.21",,,"1","4","2","5",,,"11",,,,,,,,,"10075",,,"8",,,,,,"9","288",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-03T02:00:00","22.85","116.93",,,"1","5","2","5","5","4","1",,,,,,,,,"10081","2","16","8","269",,,,"255",,,,,,,,,,,,,,,"225","26","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
"2201566","2018-09-03T03:00:00","21.57","117.21",,,"1","4","2","5",,,"11",,,,,,,,,"10071",,,"8",,,,,,"9","290",,,,,,,,,,,,,"225","17","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,
"EUCDE14","2018-09-03T03:00:00","22.76","116.71",,,"1","5","2","5","6","3","1",,,,,,,,,"10079","2","9","8","276",,,,"248",,,,,,,,,,,,,,,"225","26","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,
